Ticker,Equity Bond
ACLX,-1.9996986919221742
ACMR,10.127654317579312
ACNB,11.460374278412932
ACON,-72.70004441455349
ACRS,-34.59198833851933
ACRV,-34.81997445285898
ACT,16.599029074379075
ACTG,16.33218904176727
ACTU,-13.535276080331274
ACVA,-2.3078274962081036
ACXP,-102.42698936591736
ADBE,3.5611293331569267
ADD,-4331.506455203358
ADEA,5.786128621914774
ADGM,-202.4114910042403
ADI,3.543197849115455
ADMA,-0.7253149240653913
ADN,-505.80015619562255
ADP,3.5489557425344453
ADPT,-19.82684403208601
ADSK,1.4334350068748958
ADTN,-28.470896142234253
ADTX,-373.23934174053545
ADUS,3.585376462229424
ADV,-10.629296853806496
ADVM,-133.42902425166713
AEHR,4.567868370740009
AEI,-645.7802568790254
AEIS,2.918234847341982
AEMD,-128.9640894766411
AENT,-14.33292829642345
AEP,4.174000853362335
AERT,10.535041467538134
AEYE,-2.566136363428783
AFBI,7.170750723230222
AFCG,12.576343167113324
AFRM,-6.155346501322813
AGAE,-7.410579059538384
AGEN,-310.6225023986831
AGFY,-38.42859760285755
AGIO,-18.365942204870972
AGNC,1.7358914026338514
AGNCM,1.2918430549173852
AGNCN,1.2631689684180507
AGYS,0.6618818703938559
AHCO,-52.53021221625582
AIMD,-153.94137633365887
AIOT,-0.642177713496437
AIP,-7.6312950329512335
AIRE,-8.769671869714863
AIRG,-16.37788941254934
AIRS,1.0527390817157143
AIRT,-20.084625391750148
AIRTP,-21.884492564908946
AITR,-0.04226808002287035
AKAM,4.432251473390327
AKBA,-11.225966251130568
AKRO,-3.697122885547113
AKYA,-46.5901300543643
ALAB,-0.1474531234593706
ALBT,-457.1383087857296
ALCE,-1888.984558183575
ALCO,1.065940059500245
ALCY,6.51624584793114
ALDX,-12.194216837890956
ALEC,-77.93998988751996
ALGM,4.999302406918462
ALGN,3.9797580032367095
ALGS,-111.12334105081467
ALGT,8.864647503571362
ALHC,-5.029752703763175
ALKT,-1.7853335134427557
ALLK,-849.4089352285364
ALLO,-93.46363170488357
ALLR,-237.99642534121813
ALMS,-44.11548856711705
ALNT,7.219871396441854
ALNY,-1.2242185189490673
ALOT,4.054834547839121
ALRM,3.229597476096957
ALRS,2.934018075239135
ALT,-19.309783409931477
ALTI,-89.32620004593704
ALTO,-23.19204383005228
ALTR,0.19041328861008697
ALTS,-20.587291130600484
ALVR,-385.73009193519965
ALXO,-230.97233514330728
ALZN,-240.22647040587776
AMAL,12.042368863425624
AMAT,5.309992585330495
AMBA,-2.258756464041796
AMCX,95.9768425542837
AMD,0.26531707725200926
AMED,1.3127470185534142
AMGN,5.058696483596559
AMIX,-41.69586948983322
AMKR,7.506217150039911
AMLX,18.527465697415305
AMPH,10.673660755742471
AMPL,-7.688911570816516
AMRK,31.38729760561497
AMRX,-1.5888585498139627
AMSC,-3.3537869977424215
AMSF,8.123569553805774
AMST,-30.140780850527037
AMTX,-93.6655488261927
AMWD,10.772866504786242
AMZN,1.5044033895778635
ANAB,-32.276464401730486
ANDE,12.423615823696215
ANEB,-17.84779066173052
ANGI,-20.02133286076174
ANGO,-12.18535125095926
ANIK,-33.715963105592074
ANIP,1.632678818477992
ANIX,-11.014813759798527
ANNX,-35.7764145858457
ANSC,0.3596710200033063
ANSS,1.952581078273296
ANTX,-198.75951244290368
AOUT,-5.820459855880994
APA,36.29719617670099
APDN,-106.70528856304011
APEI,-13.703021755090298
APGE,-4.791706044480174
APLD,-2.8155988015059483
APLM,-1792.9461900622932
APLS,-14.85616399638893
APLT,-182.9832582763244
APOG,10.736068644379746
APP,0.3486821974095047
APPF,0.1452796516572912
APPN,-7.3080896432806535
APPS,8.356358613494272
APRE,-68.70638588456359
APVO,-293.9686460765668
APYX,-39.8134198201089
AQMS,-190.71139732993208
AQST,-2.8936832537802566
AQU,4.50063026509699
ARAY,-3.082129348178227
ARCB,8.781855385809507
ARCC,9.660390271563534
ARDX,-5.229226979625153
AREB,-397.7296044600469
AREC,-21.75850260357609
ARHS,27.31951684750451
ARKO,5.779625455407633
ARKR,-12.260576404655934
ARLP,18.233072793771317
AROW,8.605798368584674
ARQ,-4.634139352914849
ARQT,-17.439360188966408
ARRY,16.608885277590325
ARTL,-243.8485572195693
ARTNA,7.802087805317701
ARTV,-23.257482737671435
ARTW,12.864927833642659
ARVN,-30.97036884607332
ARWR,-8.809839045459565
ASLE,-2.144321079909919
ASMB,-69.76428529621953
ASNS,-81.7204656698902
ASO,23.153046397172563
ASPI,-3.9708976608939044
ASRT,-328.50245143923183
ASRV,-10.004847038303643
ASST,-66.90264461571958
ASTC,-85.20298825489797
ASTE,5.698375211624741
ASTH,5.423928577586775
ASTI,-610.6580694644779
ASTS,-5.137760763349684
ASUR,-2.9432402184902497
ASYS,-21.249763805977985
ATEC,-11.504859646805887
ATER,-454.64778085746724
ATEX,-2.8047625087233374
ATHA,-608.7317217510703
ATLC,15.575643850141946
ATLN,-2.147644891959123
ATLO,8.082238791959275
ATLX,-46.01004221658088
ATMC,2.447217749509905
ATMV,6.620209923397362
ATNF,-527.3932233795064
ATNI,-11.908897861103306
ATOM,-8.305262051203826
ATRA,-562.6527951073776
ATRC,-1.5420773609481067
ATRO,-4.843371128416377
ATSG,5.758662237584853
ATXI,-395.83978724290796
ATXS,-17.383720140722208
ATYR,-16.817254120312352
AUBN,0.8439400298945955
AUID,-26.72778282489364
AUR,-8.673771637002828
AURA,-19.88152466225572
AUUD,-341.1742302338881
AVAH,-15.570301737010439
AVAV,-3.8590017370905754
AVBP,-7.465638615721295
