ANIX: Equity Bond = -11.014813759798527%
ANNX: Equity Bond = -35.7764145858457%
ANSC: Equity Bond = 0.3596710200033063%
ANSS: Equity Bond = 1.952581078273296%
ANTX: Equity Bond = -198.75951244290368%
AOUT: Equity Bond = -5.820459855880994%
APA: Equity Bond = 36.29719617670099%
APDN: Equity Bond = -106.70528856304011%
APEI: Equity Bond = -13.703021755090298%
APGE: Equity Bond = -4.791706044480174%
APLD: Equity Bond = -2.8155988015059483%
APLM: Equity Bond = -1792.9461900622932%
APLS: Equity Bond = -14.85616399638893%
APLT: Equity Bond = -182.9832582763244%
APOG: Equity Bond = 10.736068644379746%
APP: Equity Bond = 0.3486821974095047%
APPF: Equity Bond = 0.1452796516572912%
APPN: Equity Bond = -7.3080896432806535%
APPS: Equity Bond = 8.356358613494272%
APRE: Equity Bond = -68.70638588456359%
APVO: Equity Bond = -293.9686460765668%
APYX: Equity Bond = -39.8134198201089%
AQMS: Equity Bond = -190.71139732993208%
AQST: Equity Bond = -2.8936832537802566%
AQU: Equity Bond = 4.50063026509699%
Error for AQUNR: 'Pretax Income'
ARAY: Equity Bond = -3.082129348178227%
ARCB: Equity Bond = 8.781855385809507%
ARCC: Equity Bond = 9.660390271563534%
ARDX: Equity Bond = -5.229226979625153%
AREB: Equity Bond = -397.7296044600469%
AREC: Equity Bond = -21.75850260357609%
ARHS: Equity Bond = 27.31951684750451%
ARKO: Equity Bond = 5.779625455407633%
ARKR: Equity Bond = -12.260576404655934%
ARLP: Equity Bond = 18.233072793771317%
AROW: Equity Bond = 8.605798368584674%
ARQ: Equity Bond = -4.634139352914849%
ARQT: Equity Bond = -17.439360188966408%
ARRY: Equity Bond = 16.608885277590325%
ARTL: Equity Bond = -243.8485572195693%
ARTNA: Equity Bond = 7.802087805317701%
ARTV: Equity Bond = -23.257482737671435%
ARTW: Equity Bond = 12.864927833642659%
ARVN: Equity Bond = -30.97036884607332%
ARWR: Equity Bond = -8.809839045459565%
ASLE: Equity Bond = -2.144321079909919%
